"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12"
"GABARAPL2",0.081,-0.015,-0.007,-0.084,0.887,0.2,0.033,-0.012,-0.066,-0.014,-0.029,0.164
"CEBPE",0.089,-0.114,-0.037,-0.204,-0.215,0.168,0.009,-0.041,0.008,-0.049,0.017,0.093
"NBR1",0.335,0.202,-0.069,-0.147,0.635,-0.135,0.04,0.188,0.068,-0.03,-0.459,-0.033
"EIF2AK3",0.122,-0.436,-0.131,0.019,0.188,0.272,0.282,-0.07,0.182,0.155,0.483,0.108
"FOSL1",-0.18,0.355,0.079,-0.083,-0.388,0.507,-0.076,0.127,-0.031,-0.01,0.263,-0.227
"SQSTM1",0.368,0.02,-0.351,0.071,0.213,0.642,0.161,0.059,0.045,-0.411,0.086,0.032
"FOS",-0.534,-0.453,-0.043,0.056,0.014,-0.279,0.104,0.298,0.304,-0.053,0.324,0.003
"ASNS",0.086,0.278,0.329,0.728,0.125,-0.34,-0.199,-0.063,-0.034,0.088,-0.173,0.025
"CREB3",0.196,0.345,0.727,-0.025,-0.016,-0.147,-0.149,0.11,-0.181,-0.056,-0.103,-0.006
"BECN1",0.054,0.583,0.415,-0.025,0.383,0.182,-0.086,0.055,-0.074,-0.182,-0.31,-0.04
"NFE2L2",0.594,0.071,-0.146,0.563,0.169,0.187,0.036,0.05,0.127,0.218,0.013,0.012
"EIF2AK2",0.029,0.054,-0.208,0.183,0.154,0.619,0.029,-0.034,0.117,0.095,-0.008,-0.128
"JUN",-0.025,-0.582,-0.248,-0.184,0.312,-0.269,0.094,0.132,0.149,-0.165,0.171,-0.005
"MAP3K20",0.106,-0.088,-0.162,-0.024,-0.119,0.044,-0.179,0.608,-0.086,0.173,-0.076,-0.111
"BATF",-0.012,-0.005,0.307,-0.007,0.005,0.06,0.028,-0.184,0.012,-0.009,0.048,0.004
"MAF",0.066,-0.331,-0.75,-0.046,0.078,0.112,-0.122,-0.084,0.249,-0.305,0.029,0.136
"CEBPD",-0.118,-0.045,-0.053,0,0.137,-0.867,0.013,-0.039,0.158,-0.018,-0.017,0.07
"MAP1LC3A",0.219,0.327,0.252,-0.062,0.469,-0.257,-0.098,0.086,-0.331,-0.095,-0.255,0.355
"LIG4",-0.338,-0.187,0.56,0.235,0.461,0.121,0.03,-0.048,0.125,0.189,0.152,0.091
"SLC38A2",-0.187,0.099,0.518,0.031,-0.08,-0.365,0.221,0.089,-0.02,0.511,-0.057,-0.003
"DDB1",-0.17,0.446,0.117,0.028,0.23,0.583,0.225,0.358,-0.122,-0.121,-0.057,0.006
"IRGM",0.17,-0.485,-0.139,-0.091,-0.026,0.095,-0.184,-0.034,-0.003,-0.013,-0.039,0.019
"CEBPG",0.231,-0.082,-0.08,0.881,-0.142,-0.147,0.021,0.001,0.017,0.057,0.021,-0.057
"DDB2",0.419,-0.142,0.136,0.018,0.477,0.085,-0.145,-0.024,-0.126,-0.014,0.007,-0.432
"CEBPB",0.634,0.197,-0.463,-0.165,0.08,-0.052,0.054,0.099,0.217,-0.348,-0.005,0.047
"DDIT4",-0.06,-0.115,0.357,0.144,0.052,-0.683,0.065,0.024,-0.093,0.025,0.054,0.128
"JUNB",-0.277,-0.437,-0.286,-0.066,0.061,-0.224,0.104,0.276,0.355,-0.068,0.444,0.053
"ATF6",0.016,0.165,0.367,0.367,0.461,0.032,0.031,-0.118,0.003,0.278,0.474,-0.119
"TMED2",0.01,0.505,-0.062,0.432,0.107,0.396,0.141,-0.29,-0.09,0.357,0.155,0.085
"HSPA5",0.488,0.13,-0.106,0.419,-0.414,0.311,0.095,-0.057,-0.185,0.083,0.266,-0.085
"CEBPA",0.09,-0.162,-0.067,-0.179,-0.028,-0.021,0.08,0.051,0.623,-0.063,0.018,-0.14
"NCK1",0.451,0.252,-0.329,0.186,0.226,0.152,0.128,-0.286,0.271,0.122,0.09,-0.193
"DDIT3",0.844,-0.078,-0.303,0.042,-0.019,-0.025,0.114,-0.021,-0.089,-0.141,-0.036,0.051
